Time,Data
3243,3840
3244,3828
3245,3827
3246,3831
3247,3820
3248,3820
3249,3833
3250,3837
3251,3830
3252,3834
3253,3834
3254,3835
3255,3834
3256,3833
3257,3828
3258,3828
3259,3844
3260,3835
3261,3830
3262,3839
3263,3839
3264,3833
3265,3835
3266,3835
3267,3825
3268,3825
3269,3827
3270,3840
3271,3837
3272,3836
3273,3836
3274,3836
3275,3838
3276,3835
3277,3835
3278,3824
3279,3830
3280,3829
3281,3826
3282,3826
3283,3831
3284,3825
3285,3837
3286,3836
3287,3836
3288,3837
3289,3819
3290,3831
3291,3825
3292,3825
3293,3831
3294,3828
3295,3831
3296,3827
3297,3827
3298,3827
3299,3825
3300,3837
3301,3833
3302,3833
3303,3831
3304,3833
3305,3826
3306,3826
3307,3826
3308,3836
3309,3832
3310,3834
3311,3824
3312,3824
3313,3824
3314,3834
3315,3835
3316,3835
3317,3832
3318,3829
3319,3836
3320,3833
3321,3833
3322,3836
3323,3830
3324,3835
3325,3832
3326,3832
3327,3835
3328,3838
3329,3845
3330,3839
3331,3839
3332,3845
3333,3840
3334,3841
3335,3827
3336,3827
3337,3853
3338,3841
3339,3848
3340,3857
3341,3857
3342,3851
3343,3847
3344,3829
3345,3841
3346,3841
3347,3850
3348,3842
3349,3849
3350,3841
3351,3841
3352,3850
3353,3855
3354,3854
3355,3861
3356,3861
3357,3855
3358,3853
3359,3861
3360,3861
3361,3864
3362,3860
3363,3857
3364,3852
3365,3852
3366,3862
3367,3870
3368,3860
3369,3874
3370,3874
3371,3864
3372,3875
3373,3861
3374,3866
3375,3866
3376,3865
3377,3873
3378,3865
3379,3855
3380,3855
3381,3863
3382,3872
3383,3864
3384,3875
3385,3875
3386,3886
3387,3862
3388,3871
3389,3878
3390,3878
3391,3878
3392,3866
3393,3877
3394,3871
3395,3871
3396,3864
3397,3879
3398,3878
3399,3869
3400,3869
3401,3878
3402,3867
3403,3874
3404,3874
3405,3881
3406,3879
3407,3882
3408,3875
3409,3875
3410,3885
3411,3875
3412,3872
3413,3876
3414,3876
3415,3876
3416,3880
3417,3874
3418,3878
3419,3878
3420,3875
3421,3876
3422,3882
3423,3875
3424,3875
3425,3872
3426,3874
3427,3875
3428,3871
3429,3871
3430,3878
3431,3873
3432,3872
3433,3880
3434,3880
3435,3875
3436,3868
3437,3881
3438,3872
3439,3872
3440,3865
3441,3867
3442,3878
3443,3881
3444,3881
3445,3875
3446,3867
3447,3872
3448,3872
3449,3867
3450,3873
3451,3870
3452,3874
3453,3874
3454,3869
3455,3865
3456,3876
3457,3875
3458,3875
3459,3858
3460,3875
3461,3872
3462,3880
3463,3880
3464,3878
3465,3876
3466,3887
3467,3882
3468,3882
3469,3871
3470,3880
3471,3876
3472,3879
3473,3879
3474,3888
3475,3887
3476,3884
3477,3890
3478,3890
3479,3881
3480,3884
3481,3878
3482,3878
3483,3878
3484,3888
3485,3871
3486,3897
3487,3881
3488,3881
3489,3885
3490,3881
3491,3887
3492,3887
3493,3884
3494,3885
3495,3896
3496,3885
3497,3885
3498,3890
3499,3886
3500,3896
3501,3890
3502,3890
3503,3897
3504,3886
3505,3896
3506,3888
3507,3888
3508,3891
3509,3894
3510,3891
3511,3887
3512,3887
3513,3909
3514,3890
3515,3889
3516,3887
3517,3887
3518,3896
3519,3898
3520,3902
3521,3897
3522,3897
3523,3897
3524,3895
3525,3890
3526,3897
3527,3897
3528,3900
3529,3896
3530,3900
3531,3900
3532,3900
3533,3907
3534,3904
3535,3907
3536,3907
3537,3904
3538,3901
3539,3919
3540,3900
3541,3900
3542,3918
3543,3909
3544,3896
3545,3906
3546,3906
3547,3908
3548,3914
3549,3921
3550,3919
3551,3919
3552,3917
3553,3920
3554,3906
3555,3912
3556,3912
3557,3913
3558,3922
3559,3920
3560,3917
3561,3917
3562,3916
3563,3920
3564,3913
3565,3921
3566,3921
3567,3922
3568,3922
3569,3922
3570,3924
3571,3924
3572,3920
3573,3922
3574,3928
3575,3926
3576,3926
3577,3935
3578,3931
3579,3941
3580,3941
3581,3921
3582,3924
3583,3923
3584,3919
3585,3919
3586,3919
3587,3919
3588,3916
3589,3919
3590,3919
3591,3919
3592,3913
3593,3916
3594,3911
3595,3911
3596,3915
3597,3913
3598,3911
